id;name;region;country;status
1;Isle;benchmark;Luxembourg;Global Borders
2;backing interface;withdrawal;Cambodia;International teal reboot
3;Executive Analyst;optical Integrated;United States Minor Outlying Islands;Small
4;explicit;Steel JBOD Greece;Palau;e-markets
5;Central standardization;Towels Tuna architecture;Belize;Russian CSS
6;Computer Hat;Southern middleware;Sudan;viral
7;Concrete Synergized;Central Investment Extensions;Ghana;Re-contextualized
8;leverage magnetic SCSI;Account definition Computer;Afghanistan;Hawaii interactive local
9;Sausages Azerbaijanian;International Montserrat;Senegal;withdrawal THX
10;Central solution;AGP viral;Greenland;transmit optical
