id;name;type;start_at;end_at;billing_cycle;fixed_rate;commision_percent;commision_rate
1;Guinea-Bissau orchid B2B;COMMISSION_RECURRING;2022-10-15T16:19:50;2022-10-14T22:34:33;WEEK;78480;33700;70841
2;Hat Island;COMMISSION_ON_REVENUE;2022-10-15T09:30:10;2022-10-15T03:38:33;YEAR;65201;5468;80104
3;Chair;COMMISSION_ON_REVENUE;2022-10-15T11:30:31;2022-10-15T12:24:35;WEEK;97772;27271;83947
4;Account Buckinghamshire;COMMISSION_PER_SALE;2022-10-15T04:45:54;2022-10-15T05:52:16;YEAR;95786;80566;50130
5;real-time index Cambridgeshire;FIXED;2022-10-14T22:39:05;2022-10-15T12:51:39;MONTH;23088;26043;60321
6;calculating integrated;COMMISSION_ON_REVENUE;2022-10-14T22:40:01;2022-10-15T02:01:29;YEAR;7242;45371;35954
7;invoice channels deposit;COMMISSION_RECURRING;2022-10-15T14:41:57;2022-10-15T11:39:11;YEAR;78855;71873;67965
8;Avon Granite bus;COMMISSION_PER_SALE;2022-10-14T21:07:29;2022-10-15T05:17:02;YEAR;82017;16558;28200
9;Bedfordshire;COMMISSION_ON_REVENUE;2022-10-15T12:59:31;2022-10-15T02:12:17;MONTH;27702;27089;17319
10;Object-based connecting;COMMISSION_PER_SALE;2022-10-15T08:58:16;2022-10-15T15:36:12;WEEK;12667;5729;23897
