id;invoice;total_amount;tax;jhi_on;status;reason
1;Fresh;69481;28950;2022-10-15T12:37:09;FAILED;Concrete bleeding-edge port
2;blockchains;63236;64098;2022-10-15T17:47:19;FAILED;firewall
3;Iowa Brunei;86216;60090;2022-10-15T19:53:30;COMPLETED;invoice
4;synergize project Optimization;61837;32580;2022-10-15T08:51:38;COMPLETED;Georgia turn-key
5;neutral 1080p Metal;42534;16578;2022-10-15T13:05:05;WAIT_FOR_RESPONSE;impactful parsing attitude
6;static discrete utilisation;48190;63289;2022-10-14T21:43:10;FAILED;Drive
7;leverage system-worthy;45046;86213;2022-10-15T18:30:31;FAILED;back-end
8;Tools bleeding-edge Ergonomic;17768;39265;2022-10-14T22:40:28;COMPLETED;Developer
9;synergies;70133;28166;2022-10-15T10:23:03;FAILED;system Island
10;Accountability;74120;73453;2022-10-15T19:48:41;COMPLETED;strategize
