id;status;reason;jhi_on;total_amount;invoice
1;FAILED;SDD deposit;2022-10-15T10:40:33;42934;olive
2;CREATED;foreground Arkansas;2022-10-15T05:17:14;38469;Architect Islands
3;COMPLETED;Ergonomic Fresh Cedi;2022-10-15T11:12:47;71148;connecting Louisiana
4;WAIT_FOR_RESPONSE;Games Automotive;2022-10-15T07:09:38;79831;New array
5;FAILED;Taiwan;2022-10-15T05:02:28;55570;transitional SMS Mauritius
6;FAILED;Intranet Identity motivating;2022-10-15T17:46:09;16033;driver migration generate
7;COMPLETED;Bolivia;2022-10-15T01:20:01;59027;Bike Proactive Garden
8;WAIT_FOR_RESPONSE;Keys;2022-10-15T00:06:00;96227;supply-chains Identity bypassing
9;FAILED;Handcrafted Sum Berkshire;2022-10-15T02:51:10;50308;Mobility Wisconsin Web
10;WAIT_FOR_RESPONSE;salmon;2022-10-14T21:48:07;38160;orange Up-sized
