id;sale_id;invoice;total_amount;tax;coupon_code;coupon_amount;jhi_on
1;experiences auxiliary AGP;generate;357;51064;moderator Plastic virtual;89686;2022-10-15T05:09:08
2;Pound Kentucky multi-state;Sleek sexy;7560;15914;EXE lavender Enterprise-wide;73570;2022-10-14T23:03:59
3;Profound;Vanuatu Manager knowledge;4041;77968;generating Designer;25093;2022-10-15T19:42:23
4;Account;alliance Gold;28415;98037;navigate;26532;2022-10-15T12:21:18
5;Plastic Cambridgeshire;Arizona;6756;82903;Point Small;66927;2022-10-15T10:39:47
6;mobile Configuration;Supervisor Haven;29608;67884;Executive;60297;2022-10-15T04:09:28
7;Gibraltar Montenegro Fantastic;Centralized;59444;8847;core;15494;2022-10-15T02:29:59
8;Salad Credit payment;Direct;61494;97032;Pizza;6703;2022-10-15T15:37:13
9;Universal;Mouse;60746;57299;Bedfordshire;66586;2022-10-15T18:24:23
10;Generic digital Metal;Auto Kroon;55480;80113;Cambridgeshire Fantastic;41621;2022-10-15T20:50:42
